Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Number of functional leaves (shooting),Number of functional leaves (harvest),Bunch weight (kg),Number of hands,Number of fruits in bunch,Average weight of fruit on 3rd and 7th hand (g),Average length of fruit on 3rd and 7th hand (cm),Average diameter of fruit on 3rd and 7th hand (cm),Youngest leaf spotted (shooting),Number standing leaves (shooting),Index of non-spotted leaves (shooting)
PisangBerlin,A,1,PisangBerlinA1,mother,7/4/2002,12/10/2002,3/3/2003,200,33,48,16,9,5.1,8,123,40,10,3.5,12,16,68.75
PisangBerlin,A,2,PisangBerlinA2,mother,7/4/2002,22/10/02,19/03/03,205,33,52,14,8,4.42,6,105,34,9,3.5,11,14,71.43
PisangBerlin,A,3,PisangBerlinA3,mother,7/4/2002,29/10/02,19/03/03,210,34,50,13,7,4.9,7,118,30,8.5,3.5,10,13,69.23
PisangBerlin,B,1,PisangBerlinB1,mother,7/4/2002,21/12/02,6/4/2003,210,32,47,10,5,4.6,7,117,36,9.5,3.4,12,14,78.57
PisangBerlin,B,2,PisangBerlinB2,mother,7/4/2002,1/11/2002,19/03/03,195,34,42,13,5,4.85,7,122,35,9.4,3.5,11,13,76.92
PisangBerlin,B,3,PisangBerlinB3,mother,7/4/2002,22/10/02,9/3/2003,205,35,47,13,5,5.15,8,128,32,7.5,3.6,11,13,76.92
PisangBerlin,C,1,PisangBerlinC1,mother,7/4/2002,NA,8/3/2003,210,33,46,12,7,4.58,8,118,36,9,3.3,9,13,61.54
PisangBerlin,C,2,PisangBerlinC2,mother,7/4/2002,25/10/02,8/3/2003,200,32,48,11,8,4.77,6,96,38,8.8,3.8,11,11,90.91
PisangBerlin,C,3,PisangBerlinC3,mother,7/4/2002,19/10/02,16/03/03,198,36,47,12,7,4.28,8,114,34,8.5,3.6,11,12,83.33
CultivarRose,A,1,CultivarRoseA1,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CultivarRose,A,2,CultivarRoseA2,mother,7/4/2002,21/09/02,7/2/2003,166,25,75,12,1,3.88,9,121,24,10.5,3.1,12,12,91.67
CultivarRose,A,3,CultivarRoseA3,mother,7/4/2002,29/09/02,2/2/2003,170,26,88,12,2,3.18,8,115,20,9.5,3.1,12,12,91.67
CultivarRose,B,1,CultivarRoseB1,mother,7/4/2002,4/10/2002,11/2/2003,165,24,73,11,0,3.2,8,118,18,8.4,3.2,11,11,90.91
CultivarRose,B,2,CultivarRoseB2,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CultivarRose,B,3,CultivarRoseB3,mother,7/4/2002,1/10/2002,19/02/03,158,25,60,11,1,3.15,8,120,22,9,3.2,11,11,90.91
CultivarRose,C,1,CultivarRoseC1,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CultivarRose,C,2,CultivarRoseC2,mother,7/4/2002,14/10/02,16/02/03,172,25,45,10,1,3.4,8,115,21.5,8.5,3.3,9,10,80
CultivarRose,C,3,CultivarRoseC3,mother,7/4/2002,6/10/2002,21/02/03,170,24,65,12,1,3.24,8,116,18,8.2,3.3,11,12,83.33
FHIA18,A,1,FHIA18A1,mother,7/4/2002,29/12/02,28/04/03,251,60,78,13,7,19.77,9,126,156.5,20,4.5,12,13,84.62
FHIA18,A,2,FHIA18A2,mother,7/4/2002,9/12/2002,8/4/2003,243,58,40,16,5,19.93,8,132,134,15,4.2,13,16,75
FHIA18,A,3,FHIA18A3,mother,7/4/2002,2/1/2003,30/04/03,250,53,75,13,6,18.64,7,100,153,15,4.3,11,13,76.92
FHIA18,B,1,FHIA18B1,mother,7/4/2002,29/11/02,18/04/03,282,52,107,18,6,22.64,9,141,122,13,4.1,11,18,55.56
FHIA18,B,2,FHIA18B2,mother,7/4/2002,8/12/2002,17/04/03,238,54,81,18,6,19.46,9,132,123,13.1,4.1,12,18,61.11
FHIA18,B,3,FHIA18B3,mother,7/4/2002,3/11/2002,13/03/03,235,62,108,14,6,24.05,11,152,144,17.8,4.4,12,14,78.57
FHIA18,C,1,FHIA18C1,mother,7/4/2002,6/11/2002,24/02/03,333,62,115,12,6,25.21,8,117,165,19.5,4.3,14,15,86.67
FHIA18,C,2,FHIA18C2,mother,7/4/2002,2/11/2002,22/03/03,264,60,114,17,7,20.7,10,152,130,14,4.1,12,17,64.71
FHIA18,C,3,FHIA18C3,mother,7/4/2002,16/11/02,15/04/03,282,64,116,16,7,20.45,10,161,128,14.5,4.1,13,16,75
B7925,A,1,B7925A1,mother,7/4/2002,24/12/02,22/04/03,205,48,98,16,5,16.98,7,109,143,20,4.2,13,16,75
B7925,A,2,B7925A2,mother,7/4/2002,30/12/02,27/04/03,204,48,90,17,4,19.67,8,123,140,21.5,4.1,13,17,70.59
B7925,A,3,B7925A3,mother,7/4/2002,11/11/2002,7/4/2003,206,49,104,14,5,16.63,8,122,136,19.5,4.1,12,14,78.57
B7925,B,1,B7925B1,mother,7/4/2002,9/11/2002,2/4/2003,218,52,89,16,5,17,7,116,140,19.2,4.1,14,16,81.25
B7925,B,2,B7925B2,mother,7/4/2002,13/12/02,17/04/03,208,50,95,15,4,15.5,8,118,136,18.5,4.1,13,15,80
B7925,B,3,B7925B3,mother,7/4/2002,3/12/2002,12/4/2003,212,55,101,17,5,16.7,8,125,132.5,19.1,4.1,12,17,64.71
B7925,C,1,B7925C1,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B7925,C,2,B7925C2,mother,7/4/2002,NA,NA,210,45,96,NA,6,8.96,7,90,98,20,3.7,9,12,66.67
B7925,C,3,B7925C3,mother,7/4/2002,11/11/2002,14/04/03,203,51,95,16,5,16.8,8,126,130,20,3.9,10,16,56.25
FHIA25,A,1,FHIA25A1,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,A,2,FHIA25A2,mother,7/4/2002,17/08/03,9/12/2003,295,79,200,12,9,24.3,9,162,126,17,4.78,14,14,92.86
FHIA25,A,3,FHIA25A3,mother,7/4/2002,23/06/03,27/09/03,300,74,200,13,9,39.55,16,284,132,17,4.2,13,13,92.31
FHIA25,B,1,FHIA25B1,mother,7/4/2002,6/9/2003,23/02/04,250,87,96,16,2,32.5,19,367,68,13,3.03,15,16,87.5
FHIA25,B,2,FHIA25B2,mother,7/4/2002,4/9/2003,26/02/04,248,76,90,13,0,29,15,318,110,15.6,3.2,13,13,92.31
FHIA25,B,3,FHIA25B3,mother,7/4/2002,21/09/03,27/02/04,235,66,105,17,6,30.25,18,340,67.92,NA,NA,13,17,70.59
FHIA25,C,1,FHIA25C1,mother,7/4/2002,20/05/03,26/08/03,253,71,105,13,8,28,14,240,102.8,NA,NA,12,13,84.62
FHIA25,C,2,FHIA25C2,mother,7/4/2002,12/7/2003,19/10/03,300,80,150,11,8,33.5,15,267,110,NA,NA,11,11,90.91
FHIA25,C,3,FHIA25C3,mother,7/4/2002,15/05/03,7/9/2003,250,67,115,12,7,18.72,14,212,72.26,NA,NA,11,12,83.33
SH34369,A,1,SH34369A1,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH34369,A,2,SH34369A2,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH34369,A,3,SH34369A3,mother,7/4/2002,25/09/03,16/01/04,307,62,83,8,6,11.98,8,143,90,11.5,3.8,5,8,50
SH34369,B,1,SH34369B1,mother,NA,NA,NA,NA,NA,87,7,NA,NA,NA,NA,NA,NA,NA,6,7,71.43
SH34369,B,3,SH34369B3,mother,7/4/2002,18/09/03,30/12/03,317,59,85,9,5,15.1,9,162,76,12,3.5,6,9,55.56
SH34369,C,1,SH34369C1,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH34369,C,2,SH34369C2,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH34369,C,3,SH34369C3,mother,7/4/2002,24/09/03,23/12/03,300,65,80,7,6,20.6,9,146,133,15.5,3.7,10,11,81.82
FHIA17,A,1,FHIA17A1,mother,7/4/2002,26/09/03,21/01/04,315,54,127,12,1,4.13,7,135,34,8.5,2.7,9,12,81.82
FHIA17,A,2,FHIA17A2,mother,7/4/2002,14/10/03,28/03/04,337,53,135,10,0,5.01,7,142,30,8,2.87,10,10,90
FHIA17,A,3,FHIA17A3,mother,7/4/2002,1/10/2003,15/03/04,312,55,145,12,1,4.51,8,148,25,7.5,2.7,8,12,58.33
FHIA17,B,1,FHIA17B1,mother,7/4/2002,11/9/2003,13/02/04,330,61,90,13,1,5.49,7,157,24,7.3,2.55,12,13,84.62
FHIA17,B,2,FHIA17B2,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA17,B,3,FHIA17B3,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA17,C,1,FHIA17C1,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA17,C,2,FHIA17C2,mother,7/4/2002,NA,NA,NA,NA,63,14,7,6.09,8,118,48,10.5,3.7,12,14,78.57
FHIA17,C,3,FHIA17C3,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,A,1,FHIA23A1,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,A,2,FHIA23A2,mother,NA,NA,NA,250,NA,100,10,NA,NA,NA,NA,NA,NA,NA,6,10,50
FHIA23,A,3,FHIA23A3,mother,NA,NA,NA,285,NA,92,6,NA,NA,NA,NA,NA,NA,NA,5,6,66.67
FHIA23,B,1,FHIA23B1,mother,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,B,2,FHIA23B2,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,B,3,FHIA23B3,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,C,1,FHIA23C1,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,C,2,FHIA23C2,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,C,3,FHIA23C3,mother,NA,NA,NA,290,NA,92,8,NA,NA,NA,NA,NA,NA,NA,7,8,75
GrandNaine,A,1,GrandNaineA1,mother,7/4/2002,8/12/2002,22/03/03,182,36,55,13,0,14.2,8,98,125,21.3,3.9,5,13,30.77
GrandNaine,A,2,GrandNaineA2,mother,7/4/2002,23/11/02,11/3/2003,178,36,52,14,1,13.38,7,94,130,21,4,6,14,35.71
GrandNaine,A,3,GrandNaineA3,mother,7/4/2002,5/12/2002,28/03/03,175,38,62,13,0,13.92,8,110,122,20,4,6,13,38.46
Local,A,1,LocalA1,mother,7/4/2002,11/12/2002,4/4/2003,287,41,148,12,4,13.98,6,125,116,13.5,3.9,5,12,33.33
Local,A,2,LocalA2,mother,7/4/2002,28/11/02,28/03/03,275,45,155,11,3,13,6,85,150,14.5,4.3,6,11,45.45
Local,A,3,LocalA3,mother,7/4/2002,15/11/02,8/3/2003,290,42,138,9,5,12.84,6,87,140,14.4,4.3,5,9,44.44
GCTCV215,A,1,GCTCV215A1,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,A,2,GCTCV215A2,mother,7/4/2002,23/11/02,21/04/03,225,62,38,10,6,16.92,9,130,122,16.5,4.2,6,10,50
GCTCV215,A,3,GCTCV215A3,mother,7/4/2002,20/12/02,10/5/2003,218,60,42,9,5,14.85,8,110,138,18.2,4.1,4,9,33.33
GCTCV215,B,1,GCTCV215B1,mother,NA,NA,NA,259,NA,50,7,NA,NA,NA,NA,NA,NA,NA,5,7,57.14
GCTCV215,B,2,GCTCV215B2,mother,NA,NA,NA,240,NA,32,7,NA,NA,NA,NA,NA,NA,NA,5,10,40
GCTCV215,B,3,GCTCV215B3,mother,NA,NA,NA,246,NA,85,7,NA,NA,NA,NA,NA,NA,NA,5,6,66.67
GCTCV215,C,1,GCTCV215C1,mother,7/4/2002,8/12/2002,24/04/03,213,68,35,10,7,14.71,8,105,150,21,4.2,5,10,40
GCTCV215,C,2,GCTCV215C2,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,C,3,GCTCV215C3,mother,7/4/2002,14/12/02,24/04/03,240,60,48,10,6,19.12,10,146,140,18,4.1,6,10,50
YangambiKm5,A,1,YangambiKm5A1,mother,7/4/2002,14/10/03,20/12/03,355,60,112,12,1,5.77,8,165,35,7.8,2.83,12,12,91.67
YangambiKm5,A,2,YangambiKm5A2,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,A,3,YangambiKm5A3,mother,7/4/2002,4/10/2003,23/02/04,325,64,108,11,2,6.12,8,189,20,5.5,2.3,12,12,91.67
YangambiKm5,B,1,YangambiKm5B1,mother,7/4/2002,NA,NA,380,NA,132,11,NA,NA,NA,NA,NA,NA,NA,9,11,72.73
YangambiKm5,B,2,YangambiKm5B2,mother,7/4/2002,11/9/2003,21/02/04,310,65,110,13,1,5.27,7,176,22,5.9,2.5,12,13,84.62
YangambiKm5,B,3,YangambiKm5B3,mother,7/4/2002,23/11/03,NA,390,NA,190,10,NA,NA,NA,NA,NA,NA,NA,8,10,70
YangambiKm5,C,1,YangambiKm5C1,mother,7/4/2002,28/11/03,NA,410,NA,185,12,NA,NA,NA,NA,NA,NA,NA,9,12,66.67
YangambiKm5,C,2,YangambiKm5C2,mother,7/4/2002,22/11/03,NA,345,NA,190,11,NA,NA,NA,NA,NA,NA,NA,8,11,63.64
YangambiKm5,C,3,YangambiKm5C3,mother,7/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
